gun;cut_off_time;kabul_ili;varis_ili;gonderi_turu;id;varýs_gunu
1;17:30:00;1;2;APG;1;NULL
1;17:30:00;1;2;KARGO;2;NULL
1;17:30:00;1;2;MEKTUP;3;NULL
2;17:30:00;1;3;APG;4;NULL
2;17:30:00;1;3;KARGO;5;NULL
2;17:30:00;1;3;MEKTUP;6;NULL
2;17:30:00;1;4;APG;7;NULL
2;17:30:00;1;4;KARGO;8;NULL
2;17:30:00;1;4;MEKTUP;9;NULL
2;17:30:00;1;5;APG;10;NULL
2;17:30:00;1;5;KARGO;11;NULL
2;17:30:00;1;5;MEKTUP;12;NULL
1;17:30:00;1;6;APG;13;NULL
1;17:30:00;1;6;KARGO;14;NULL
1;17:30:00;1;6;MEKTUP;15;NULL
1;17:30:00;1;7;APG;16;NULL
2;17:30:00;1;7;KARGO;17;NULL
1;17:30:00;1;7;MEKTUP;18;NULL
2;17:30:00;1;8;APG;19;NULL
2;17:30:00;1;8;KARGO;20;NULL
2;17:30:00;1;8;MEKTUP;21;NULL
2;17:30:00;1;9;APG;22;NULL
2;17:30:00;1;9;KARGO;23;NULL
2;17:30:00;1;9;MEKTUP;24;NULL
2;17:30:00;1;10;APG;25;NULL
2;17:30:00;1;10;KARGO;26;NULL
2;17:30:00;1;10;MEKTUP;27;NULL
2;17:30:00;1;11;APG;28;NULL
2;17:30:00;1;11;KARGO;29;NULL
2;17:30:00;1;11;MEKTUP;30;NULL
2;17:30:00;1;12;APG;31;NULL
2;17:30:00;1;12;KARGO;32;NULL
2;17:30:00;1;12;MEKTUP;33;NULL
2;17:30:00;1;13;APG;34;NULL
2;17:30:00;1;13;KARGO;35;NULL
2;17:30:00;1;13;MEKTUP;36;NULL
2;17:30:00;1;14;APG;37;NULL
2;17:30:00;1;14;KARGO;38;NULL
2;17:30:00;1;14;MEKTUP;39;NULL
2;17:30:00;1;15;APG;40;NULL
2;17:30:00;1;15;KARGO;41;NULL
3;17:30:00;1;15;MEKTUP;42;NULL
2;17:30:00;1;16;APG;43;NULL
2;17:30:00;1;16;KARGO;44;NULL
2;17:30:00;1;16;MEKTUP;45;NULL
2;17:30:00;1;17;APG;46;NULL
2;17:30:00;1;17;KARGO;47;NULL
2;17:30:00;1;17;MEKTUP;48;NULL
2;17:30:00;1;18;APG;49;NULL
2;17:30:00;1;18;KARGO;50;NULL
2;17:30:00;1;18;MEKTUP;51;NULL
2;17:30:00;1;19;APG;52;NULL
2;17:30:00;1;19;KARGO;53;NULL
2;17:30:00;1;19;MEKTUP;54;NULL
2;17:30:00;1;20;APG;55;NULL
2;17:30:00;1;20;KARGO;56;NULL
2;17:30:00;1;20;MEKTUP;57;NULL
1;14:30:00;1;21;APG;58;NULL
1;14:30:00;1;21;KARGO;59;NULL
1;14:30:00;1;21;MEKTUP;60;NULL
2;17:30:00;1;22;APG;61;NULL
2;17:30:00;1;22;KARGO;62;NULL
2;17:30:00;1;22;MEKTUP;63;NULL
1;14:30:00;1;23;APG;64;NULL
2;17:30:00;1;23;APG;65;NULL
1;14:30:00;1;23;KARGO;66;NULL
2;17:30:00;1;23;KARGO;67;NULL
1;14:30:00;1;23;MEKTUP;68;NULL
2;17:30:00;1;23;MEKTUP;69;NULL
2;17:30:00;1;24;APG;70;NULL
2;17:30:00;1;24;KARGO;71;NULL
2;17:30:00;1;24;MEKTUP;72;NULL
1;17:30:00;1;25;APG;73;NULL
2;17:30:00;1;25;KARGO;74;NULL
2;17:30:00;1;25;MEKTUP;75;NULL
2;17:30:00;1;26;APG;76;NULL
2;17:30:00;1;26;KARGO;77;NULL
2;17:30:00;1;26;MEKTUP;78;NULL
1;17:30:00;1;27;APG;79;NULL
1;17:30:00;1;27;KARGO;80;NULL
1;17:30:00;1;27;MEKTUP;81;NULL
2;17:30:00;1;28;APG;82;NULL
3;17:30:00;1;28;KARGO;83;NULL
2;17:30:00;1;28;MEKTUP;84;NULL
2;17:30:00;1;29;APG;85;NULL
2;17:30:00;1;29;KARGO;86;NULL
2;17:30:00;1;29;MEKTUP;87;NULL
3;17:30:00;1;30;APG;88;NULL
3;17:30:00;1;30;KARGO;89;NULL
3;17:30:00;1;30;MEKTUP;90;NULL
2;17:30:00;1;31;APG;91;NULL
2;17:30:00;1;31;KARGO;92;NULL
2;17:30:00;1;31;MEKTUP;93;NULL
2;17:30:00;1;32;APG;94;NULL
2;17:30:00;1;32;KARGO;95;NULL
2;17:30:00;1;32;MEKTUP;96;NULL
1;17:30:00;1;33;APG;97;NULL
1;17:30:00;1;33;KARGO;98;NULL
1;17:30:00;1;33;MEKTUP;99;NULL
1;17:30:00;1;34;APG;100;NULL
2;17:30:00;1;34;KARGO;101;NULL
1;17:30:00;1;34;MEKTUP;102;NULL
1;17:30:00;1;35;APG;103;NULL
2;17:30:00;1;35;KARGO;104;NULL
1;17:30:00;1;35;MEKTUP;105;NULL
2;17:30:00;1;36;APG;106;NULL
2;17:30:00;1;36;KARGO;107;NULL
2;17:30:00;1;36;MEKTUP;108;NULL
2;17:30:00;1;37;APG;109;NULL
2;17:30:00;1;37;KARGO;110;NULL
2;17:30:00;1;37;MEKTUP;111;NULL
1;17:30:00;1;38;APG;112;NULL
1;17:30:00;1;38;KARGO;113;NULL
1;17:30:00;1;38;MEKTUP;114;NULL
2;17:30:00;1;39;APG;115;NULL
2;17:30:00;1;39;KARGO;116;NULL
2;17:30:00;1;39;MEKTUP;117;NULL
1;17:30:00;1;40;APG;118;NULL
1;17:30:00;1;40;KARGO;119;NULL
1;17:30:00;1;40;MEKTUP;120;NULL
2;17:30:00;1;41;APG;121;NULL
2;17:30:00;1;41;KARGO;122;NULL
2;17:30:00;1;41;MEKTUP;123;NULL
